TotalSqFt,Bedrooms,Bathrooms,OverallQuality,YearBuilt,RoadWidth,RoadType_RCC,Price
2637,6,1.5,6,2007,13,0,179900.0
3094,7,2.5,4,2005,20,1,235000.0
2397,6,2.5,4,2022,20,1,191900.0
2671,6,1.5,5,2018,20,1,228200.0
2665,8,2.5,7,1999,13,0,187000.0
2429,7,2.5,5,1998,13,0,166200.0
4324,8,3.5,5,2020,13,0,262700.0
2804,7,2.5,5,2017,13,0,209900.0
1661,4,1.5,4,1992,13,0,116800.0
3246,7,1.5,6,2003,20,1,223300.0
2060,5,2.0,3,2014,13,0,134700.0
3139,7,3.5,7,2004,12,0,220800.0
2720,6,2.0,4,1991,13,0,199000.0
2128,6,2.0,6,2013,13,0,129600.0
3465,8,3.0,3,2003,13,0,197700.0
3066,7,2.5,6,1996,22,1,234200.0
2631,7,2.0,6,2025,13,0,200200.0
3732,8,3.0,6,2013,18,1,276500.0
2972,7,2.5,4,2016,22,1,215900.0
1732,5,2.0,6,2026,13,0,124100.0
2435,6,1.5,4,2019,20,1,151700.0
1978,5,2.5,5,2016,14,0,142800.0
2999,7,2.5,7,2004,13,0,192300.0
2839,7,2.0,6,2015,13,0,212700.0
2634,6,2.5,5,1990,13,0,191200.0
3364,7,2.5,4,1993,18,1,220500.0
3315,8,2.5,6,2018,14,0,208900.0
3583,7,2.0,5,1990,13,0,228400.0
2495,6,1.5,2,2011,13,0,137300.0
4438,8,3.0,6,2000,13,0,311600.0
3222,7,1.5,5,1999,13,0,207400.0
2269,5,1.5,7,2006,20,1,172400.0
1882,4,1.5,4,2025,13,0,163200.0
3059,8,3.0,2,2015,13,0,185000.0
2792,7,2.5,6,2010,13,0,185900.0
2704,6,2.0,6,2002,13,0,198600.0
3138,7,2.0,3,1998,13,0,183900.0
2008,4,1.5,4,2000,20,1,189600.0
2139,5,2.0,9,2000,13,0,159900.0
1948,4,1.5,5,1995,13,0,117000.0
2370,5,2.0,6,1990,12,0,172000.0
3321,7,2.0,4,1995,13,0,202500.0
2792,6,2.0,2,2002,13,0,158700.0
1885,5,2.5,5,2011,13,0,146100.0
2175,6,2.5,5,2020,13,0,174500.0
2677,6,2.0,5,2011,20,1,182200.0
1868,4,1.5,5,2026,13,0,168100.0
2210,5,1.5,6,2016,13,0,184400.0
2664,6,2.0,5,2003,13,0,166700.0
1986,4,1.5,3,1994,13,0,111500.0
2867,7,2.5,6,2025,20,1,222000.0
3146,6,2.0,2,2021,13,0,189500.0
3530,8,2.5,2,2023,13,0,228600.0
3681,8,2.5,6,1996,13,0,231700.0
1976,5,1.5,6,1999,20,1,157200.0
2211,7,2.0,5,2006,13,0,149100.0
2462,6,1.5,3,2019,13,0,166200.0
3169,7,2.5,4,2010,13,0,200600.0
2744,6,1.5,5,2002,13,0,205900.0
4411,8,3.0,3,1990,14,0,297000.0
3146,7,2.5,4,1990,13,0,192600.0
3220,7,1.5,6,2022,20,1,245300.0
3369,8,3.0,7,2014,13,0,257400.0
3216,7,3.0,5,2015,13,0,226000.0
2617,6,1.5,6,2002,20,1,193900.0
3275,7,2.5,2,2017,13,0,197200.0
2536,7,2.0,6,2022,20,1,199300.0
2083,5,2.0,4,2026,13,0,178400.0
2011,6,1.5,6,2019,13,0,164000.0
2410,6,1.5,5,1997,12,0,150000.0
3551,8,2.5,7,1990,13,0,281500.0
1848,5,1.5,4,2001,13,0,130800.0
2598,6,2.0,6,1994,20,1,197400.0
2102,4,1.5,5,2013,20,1,136600.0
2043,5,1.5,5,1995,13,0,167800.0
3504,8,3.0,5,2014,14,0,199900.0
2558,6,2.0,4,1990,12,0,185600.0
1642,3,1.5,5,2014,20,1,130200.0
2359,6,2.0,5,1990,13,0,159300.0
2397,7,3.0,6,2021,13,0,176500.0
1746,5,1.5,5,1992,13,0,137000.0
2990,7,2.5,6,2008,13,0,193300.0
2799,7,3.0,7,2018,20,1,220600.0
2481,6,2.5,4,1991,14,0,141600.0
3951,8,2.5,7,1998,13,0,290900.0
3168,7,2.0,4,2006,13,0,187300.0
1528,5,2.0,6,2025,14,0,117700.0
2061,5,1.5,6,2006,13,0,165300.0
2361,5,1.5,2,2001,13,0,149400.0
2751,6,2.0,5,2009,13,0,195600.0
1905,6,2.5,5,1992,13,0,120800.0
2385,7,2.5,4,1993,13,0,177000.0
2541,8,2.5,7,2006,13,0,189900.0
3270,8,2.5,4,2026,20,1,250700.0
2017,5,1.5,4,2004,13,0,133100.0
2138,4,1.5,5,2022,13,0,158700.0
2519,7,3.0,6,2005,13,0,172300.0
1926,4,1.5,5,2000,13,0,158600.0
3876,8,3.5,7,2009,13,0,271900.0
2845,6,2.5,6,2013,20,1,208400.0
2061,4,2.0,2,2005,13,0,134500.0
3081,7,2.5,5,2019,13,0,231000.0
3116,7,2.5,4,2023,22,1,267400.0
2932,7,2.0,6,1990,13,0,206400.0
2015,4,1.5,2,2013,20,1,127300.0
2179,6,2.5,9,2013,14,0,158500.0
4119,8,3.5,6,1998,20,1,285600.0
2829,7,2.0,6,2011,20,1,189700.0
2196,6,2.0,7,2001,20,1,215900.0
2772,6,2.0,9,2006,20,1,231500.0
2119,5,1.5,7,2014,20,1,177500.0
2492,6,2.5,7,2017,13,0,195800.0
1705,5,1.5,5,2004,13,0,99100.0
2398,6,2.0,5,2019,13,0,149100.0
2627,6,2.0,5,2016,13,0,182200.0
1674,4,1.5,4,2011,20,1,142100.0
3227,7,2.5,4,1999,13,0,227500.0
1398,4,1.5,3,2020,20,1,137600.0
2725,7,2.5,5,2016,20,1,210800.0
2592,6,2.0,3,2001,13,0,162200.0
3251,7,2.5,6,2020,13,0,236400.0
1457,3,1.5,5,2021,13,0,107100.0
3466,8,3.0,6,2021,13,0,238700.0
2850,8,3.0,5,2024,13,0,236400.0
2041,4,1.5,10,2010,20,1,160400.0
2592,6,2.0,7,1999,20,1,184400.0
2642,5,1.5,3,2005,13,0,174600.0
2661,6,1.5,6,1996,13,0,175500.0
2103,5,1.5,4,1993,12,0,148600.0
2064,4,2.0,4,2016,13,0,140400.0
2449,5,2.0,3,2014,13,0,175500.0
3055,7,2.5,6,2020,12,0,215300.0
3413,8,2.0,4,2000,13,0,217600.0
1992,5,1.5,7,2009,13,0,144400.0
2946,5,2.0,7,2025,20,1,279300.0
1711,3,1.5,7,2006,13,0,140000.0
2543,6,1.5,4,2000,13,0,149000.0
2925,7,2.0,6,2019,13,0,227600.0
3300,6,2.0,6,2024,12,0,213500.0
1945,4,1.5,5,2011,13,0,145700.0
2302,5,1.5,4,2016,13,0,179400.0
2434,7,2.5,8,2026,13,0,197400.0
2183,5,2.0,6,2024,13,0,155800.0
3227,8,3.0,6,1993,13,0,216400.0
3001,7,2.5,4,2005,13,0,215200.0
2767,5,2.0,3,2005,13,0,146700.0
2632,7,2.0,4,2010,13,0,193300.0
2340,6,1.5,5,2015,22,1,218100.0
2866,7,2.5,4,2025,20,1,210300.0
3135,8,3.0,5,2008,13,0,203100.0
1724,3,1.5,3,2006,13,0,117100.0
1927,6,2.5,4,2015,13,0,141700.0
2429,6,2.5,6,2011,20,1,217800.0
3215,8,3.0,6,2017,13,0,211100.0
2233,5,1.5,5,1990,13,0,169900.0
2459,6,2.0,4,2025,14,0,194500.0
2915,7,3.0,4,2026,13,0,224400.0
2215,6,1.5,5,1991,13,0,163600.0
2206,4,2.0,6,2006,13,0,173600.0
2519,7,2.5,7,2010,13,0,192800.0
1904,4,2.0,5,1998,20,1,175400.0
3614,8,2.0,4,2002,13,0,224800.0
2674,6,2.5,6,2000,13,0,221300.0
2818,8,2.5,4,2005,13,0,215400.0
4169,8,2.0,5,2005,13,0,277800.0
2384,6,2.0,7,1991,14,0,176400.0
2858,6,2.5,7,1997,20,1,233700.0
2567,7,2.0,6,2002,13,0,194600.0
2707,7,2.0,3,2006,20,1,194500.0
2357,7,2.5,6,2013,13,0,182000.0
3042,7,2.5,7,1992,13,0,213600.0
2826,7,2.5,5,2019,20,1,225000.0
2314,6,2.5,7,2002,13,0,159100.0
3654,8,3.0,7,2008,14,0,257100.0
2181,5,2.5,8,1996,13,0,159400.0
1748,5,2.0,6,1998,13,0,115500.0
3229,8,2.5,6,2008,14,0,210800.0
3862,8,2.0,7,2011,13,0,245500.0
2419,6,2.0,6,2007,13,0,175900.0
3243,8,2.5,5,2012,13,0,202400.0
2009,5,2.0,5,1991,13,0,156600.0
2203,5,2.0,6,2000,20,1,177900.0
2221,6,1.5,3,2020,22,1,186100.0
2200,6,2.0,5,2022,13,0,187200.0
3250,8,3.0,7,2003,20,1,246200.0
2644,6,2.5,2,2005,13,0,136200.0
1958,4,2.0,8,2000,20,1,153600.0
2289,6,2.5,7,2022,13,0,171000.0
3469,8,3.0,5,1996,14,0,204400.0
1989,6,2.5,6,2020,20,1,205800.0
2363,5,2.0,5,2003,13,0,142900.0
2418,6,1.5,7,2017,13,0,208200.0
3504,7,2.5,7,2005,20,1,242700.0
2841,6,2.0,3,2008,20,1,187900.0
2271,6,2.5,6,2006,20,1,165700.0
2969,7,3.0,5,2015,13,0,197300.0
1919,5,1.5,5,1995,12,0,127600.0
1893,4,1.5,4,1998,12,0,132200.0
1693,4,1.5,8,2006,13,0,163400.0
2439,5,2.0,7,2020,13,0,165600.0
2539,6,2.5,4,2001,13,0,175000.0
4023,7,2.5,3,2012,12,0,240400.0
3063,7,2.5,5,1994,13,0,200500.0
2516,5,1.5,6,2025,18,1,210600.0
2057,6,2.5,6,2025,18,1,212100.0
2015,5,1.5,7,1992,18,1,179400.0
2125,5,2.5,6,2013,20,1,185700.0
2252,6,2.5,7,2006,13,0,175900.0
2459,5,1.5,6,2015,20,1,219200.0
2485,7,2.0,3,1993,13,0,159200.0
3097,8,3.0,5,2001,20,1,224700.0
3716,8,2.5,7,1990,20,1,285400.0
2422,7,3.0,5,2010,22,1,189100.0
2936,6,2.0,6,2008,13,0,185900.0
2994,7,2.0,5,2010,13,0,221200.0
2579,6,3.0,4,2007,14,0,183400.0
3033,7,2.5,5,1992,13,0,195900.0
2724,6,2.5,6,2021,13,0,186700.0
3192,8,2.5,4,1999,13,0,199100.0
2460,6,2.0,5,2004,13,0,171900.0
2045,5,2.0,4,1994,14,0,179300.0
3487,8,2.0,7,1993,13,0,218000.0
2994,6,3.0,5,2017,12,0,246600.0
3555,8,3.5,7,1993,14,0,240100.0
3932,8,2.5,8,2004,13,0,307300.0
2513,6,1.5,5,2006,13,0,162600.0
3780,8,3.0,4,1992,20,1,231600.0
2997,8,3.0,2,1999,13,0,148200.0
4136,8,3.0,3,2012,13,0,275600.0
2086,5,2.0,3,2007,14,0,124000.0
1752,5,2.0,7,1990,13,0,151000.0
2096,4,2.0,5,2024,13,0,157600.0
1226,3,1.5,6,2020,13,0,104800.0
2340,6,1.5,2,1990,13,0,145000.0
2104,5,2.5,4,1992,13,0,134400.0
3367,8,3.5,7,1992,13,0,215600.0
2552,7,3.5,6,2026,13,0,190200.0
4183,8,2.5,5,2008,13,0,285000.0
2547,5,2.0,6,2018,13,0,238600.0
2439,5,1.5,8,2014,13,0,166900.0
2299,5,2.0,5,2022,13,0,165600.0
2851,7,2.0,5,2025,13,0,200500.0
1888,4,2.0,6,2018,22,1,165000.0
3579,8,2.5,9,2015,13,0,274300.0
2752,8,2.0,2,1993,13,0,168100.0
2408,6,2.0,6,2003,18,1,177900.0
1513,4,1.5,5,2016,13,0,119300.0
2797,7,3.0,6,2022,13,0,239000.0
2792,6,1.5,4,2011,20,1,175700.0
2773,7,2.5,5,1992,20,1,239600.0
1498,4,1.5,6,2012,13,0,103000.0
1840,4,1.5,10,2010,20,1,153800.0
3230,8,3.5,7,2012,20,1,230100.0
2792,7,2.5,4,1993,13,0,164100.0
2783,5,1.5,5,2010,20,1,171800.0
3247,7,2.5,5,2026,13,0,228900.0
1884,4,1.5,3,2020,13,0,125300.0
2309,7,2.5,5,2010,20,1,182800.0
2834,7,2.0,6,2015,20,1,224000.0
2571,5,2.0,3,2024,13,0,186000.0
2800,7,1.5,7,2013,13,0,212400.0
1591,3,1.5,6,2000,12,0,125900.0
1606,5,1.5,4,2018,12,0,131800.0
3204,7,2.5,5,1992,13,0,260700.0
2466,6,2.0,8,1990,20,1,205400.0
1847,5,1.5,6,2008,20,1,153300.0
3387,7,2.0,5,2011,13,0,237800.0
2624,5,2.0,5,2003,13,0,195800.0
2472,5,1.5,5,2003,13,0,192900.0
2987,8,2.5,5,2005,13,0,188100.0
3234,7,2.5,2,2022,12,0,219700.0
3934,7,2.5,8,2002,13,0,289600.0
3097,7,2.0,6,2001,13,0,192600.0
2396,6,2.0,6,2022,13,0,209400.0
2680,7,3.5,5,2022,13,0,186700.0
2978,7,2.0,4,2018,14,0,213000.0
2202,5,1.5,5,1994,12,0,139900.0
2486,7,3.0,3,1995,12,0,196200.0
3152,6,2.0,9,2020,13,0,236400.0
1320,3,1.5,3,2005,14,0,98900.0
1801,4,1.5,4,2020,13,0,128000.0
1759,5,1.5,5,2014,20,1,118700.0
2747,6,2.5,7,2022,12,0,199900.0
3016,7,3.0,5,2002,13,0,206300.0
3629,7,3.0,3,1999,13,0,243800.0
2654,6,1.5,7,2013,13,0,202200.0
3231,8,2.5,6,1999,13,0,219200.0
2022,4,1.5,6,2020,20,1,168200.0
1517,4,1.5,6,2002,20,1,131600.0
3195,8,3.0,9,1992,20,1,232500.0
3110,7,2.5,9,2023,12,0,256700.0
2192,5,1.5,4,2017,13,0,182100.0
1734,3,1.5,8,2008,13,0,114000.0
2365,5,1.5,6,2012,13,0,165400.0
2158,6,2.0,6,2021,13,0,158300.0
2840,7,3.0,3,2002,13,0,187300.0
2664,6,1.5,5,2022,20,1,252200.0
1630,4,1.5,4,2023,13,0,127000.0
2395,6,2.5,7,2022,13,0,167100.0
2147,4,1.5,7,1994,20,1,166300.0
2192,6,2.5,2,1992,20,1,164100.0
2452,6,3.0,5,1996,13,0,195400.0
2202,6,2.0,7,2013,20,1,172400.0
2486,7,2.5,5,2011,20,1,230400.0
2280,4,1.5,6,2012,13,0,163400.0
1882,4,1.5,6,2019,12,0,151000.0
2039,5,2.0,6,2007,13,0,154700.0
1657,3,1.5,5,2021,12,0,136800.0
2922,8,2.5,3,1996,13,0,162400.0
2192,5,2.0,4,2022,22,1,162100.0
4315,8,3.5,6,1994,18,1,271000.0
2845,7,2.5,5,2017,20,1,180300.0
1938,4,2.0,5,1997,20,1,167000.0
2512,6,2.0,5,2004,20,1,185900.0
2388,6,2.5,5,1993,13,0,166200.0
2642,6,2.0,7,2023,13,0,197900.0
2536,6,1.5,5,1994,13,0,193600.0
3017,7,2.5,3,2022,12,0,189600.0
1805,3,1.5,6,1994,13,0,140300.0
2509,6,2.0,5,2023,13,0,195300.0
2487,7,2.5,5,2015,20,1,191400.0
1512,4,1.5,8,1990,14,0,100900.0
1782,4,1.5,5,1993,20,1,127200.0
3505,8,3.0,6,2015,14,0,252600.0
3252,7,2.5,4,2022,13,0,229900.0
2379,7,2.0,5,2022,13,0,159800.0
3643,8,2.0,6,1997,20,1,246000.0
3240,8,2.5,3,2009,13,0,181700.0
4380,8,2.5,6,2005,14,0,311300.0
3207,8,3.0,5,2010,13,0,229900.0
2329,6,2.0,5,2015,13,0,188800.0
1958,5,1.5,7,2012,14,0,146100.0
1427,4,1.5,6,2007,13,0,114000.0
3016,7,2.5,8,2020,13,0,225800.0
1677,5,2.0,4,2001,13,0,107400.0
2282,6,2.0,6,1990,13,0,164400.0
2477,5,2.5,5,1998,13,0,147300.0
2138,4,1.5,4,1992,13,0,122100.0
3810,8,3.5,7,2015,13,0,263800.0
3455,8,2.5,9,1998,13,0,238400.0
2855,7,3.0,5,2005,12,0,193200.0
3248,8,3.0,6,2013,14,0,207000.0
2419,4,2.0,5,2003,12,0,170900.0
2352,6,2.0,4,1992,13,0,140700.0
3014,6,1.5,3,2023,20,1,223900.0
3199,8,3.5,4,2022,13,0,219700.0
2076,5,1.5,3,2013,13,0,132000.0
2403,6,2.0,8,1998,13,0,173600.0
1760,4,2.0,5,2002,20,1,154700.0
1574,5,1.5,5,1991,13,0,147500.0
2882,8,3.0,7,1996,13,0,220100.0
3147,8,2.5,4,2010,20,1,253800.0
1682,4,1.5,4,2008,20,1,127000.0
2303,6,2.0,5,2014,13,0,177700.0
2790,6,1.5,7,2011,13,0,189200.0
2540,7,2.0,6,2000,20,1,154400.0
2493,7,3.0,6,2022,14,0,172800.0
1946,5,2.0,5,2021,12,0,148000.0
2664,6,2.0,6,2010,13,0,207300.0
2363,6,2.0,6,2009,18,1,171300.0
2915,6,2.0,4,1997,13,0,165100.0
2023,5,2.5,5,2026,13,0,172800.0
2068,5,1.5,4,1998,20,1,170900.0
1842,3,1.5,5,2014,13,0,138900.0
2192,4,2.0,5,2014,13,0,174000.0
3130,7,2.0,9,2022,13,0,286100.0
2499,6,2.5,5,1991,18,1,197600.0
1621,3,1.5,3,2008,13,0,130000.0
2263,6,3.0,5,2009,13,0,184400.0
3739,8,2.5,6,2018,13,0,241800.0
1413,3,1.5,8,1995,13,0,132100.0
2652,6,1.5,4,2006,20,1,221100.0
2042,6,2.0,3,2014,13,0,145700.0
2862,8,2.5,7,1993,13,0,209400.0
1985,4,1.5,3,2019,13,0,136600.0
1280,3,1.5,5,2009,20,1,100400.0
1764,5,2.0,5,1992,13,0,128000.0
2510,6,2.0,5,2012,13,0,167900.0
2675,6,2.0,6,2007,13,0,190000.0
2265,6,1.5,4,2015,13,0,151900.0
2595,5,1.5,5,2025,12,0,202600.0
1828,5,2.5,5,1997,13,0,125400.0
2553,6,2.0,6,2006,13,0,164400.0
1478,3,1.5,5,2020,12,0,141200.0
2630,6,2.0,6,2026,20,1,192000.0
2736,6,2.0,7,2022,13,0,233000.0
1988,4,2.0,6,2016,20,1,146700.0
2313,7,3.0,6,1993,13,0,138900.0
3644,8,3.0,3,2011,18,1,219900.0
2492,6,2.0,5,2015,20,1,206900.0
2822,7,2.5,6,2021,20,1,230500.0
1821,4,1.5,6,2013,20,1,145000.0
3580,8,3.0,4,2024,13,0,214400.0
2786,6,2.0,4,2026,13,0,241700.0
1558,4,1.5,4,2021,13,0,119000.0
2289,4,2.0,6,1996,12,0,138300.0
3186,8,3.0,7,2022,13,0,262100.0
2732,6,2.0,5,2020,20,1,204200.0
3354,8,2.0,7,2001,12,0,209600.0
1855,5,1.5,5,2000,14,0,150100.0
2352,5,2.0,5,2013,20,1,175100.0
2014,4,1.5,5,1997,13,0,150900.0
3870,8,2.5,6,2021,14,0,286200.0
2692,6,2.0,6,2011,20,1,209900.0
2416,6,2.0,9,2023,12,0,215000.0
2655,6,2.5,4,2008,12,0,174300.0
2583,4,1.5,6,2009,18,1,189300.0
3008,7,2.0,5,2003,20,1,176100.0
3064,7,3.0,4,2022,20,1,245600.0
1995,4,1.5,5,1999,13,0,153700.0
2637,5,2.0,6,2005,20,1,206000.0
3444,8,2.5,10,1993,13,0,277000.0
3304,8,2.5,5,2016,13,0,228700.0
2291,6,2.0,4,2017,13,0,149000.0
3529,8,3.0,6,2005,13,0,219000.0
2298,6,2.5,2,2022,13,0,171900.0
1442,3,1.5,5,2008,13,0,108000.0
2097,5,1.5,5,2010,13,0,115300.0
1834,4,1.5,6,2011,13,0,119900.0
2879,6,2.5,7,1998,22,1,220900.0
2204,5,1.5,5,1998,13,0,166200.0
3115,8,2.5,5,1998,13,0,229600.0
2242,5,2.0,4,2016,13,0,168800.0
2433,6,2.0,4,2006,13,0,149300.0
3877,8,2.0,6,1997,14,0,240600.0
1441,4,1.5,3,2005,13,0,100400.0
2967,6,2.0,5,2007,13,0,204800.0
3509,8,2.5,4,2022,18,1,250800.0
1900,4,1.5,6,1990,14,0,129600.0
3248,7,2.5,8,2001,13,0,242700.0
2813,6,2.0,3,1995,13,0,171600.0
2258,5,2.0,3,1994,13,0,145600.0
2526,7,3.0,5,2005,12,0,187800.0
3654,8,2.5,5,2007,13,0,267400.0
2638,7,2.5,6,2007,13,0,191500.0
3446,8,2.5,5,1990,22,1,219400.0
2236,5,1.5,5,2008,12,0,143500.0
1974,4,1.5,6,1997,12,0,134500.0
2359,5,1.5,7,1992,20,1,212800.0
2332,6,2.0,2,2014,13,0,155000.0
2224,4,2.5,5,1994,20,1,155700.0
1932,5,1.5,6,2008,13,0,167300.0
3067,8,2.5,4,2007,12,0,220400.0
3494,8,3.0,8,2020,20,1,251200.0
2583,6,2.5,4,2022,20,1,215800.0
2430,6,2.0,5,2007,20,1,161100.0
3040,8,3.5,6,2005,13,0,200700.0
1786,4,1.5,4,2005,20,1,141000.0
2218,4,1.5,3,1996,20,1,163000.0
3042,6,2.0,5,2003,13,0,195000.0
3071,8,3.0,7,2014,13,0,219800.0
1686,3,1.5,5,2021,14,0,142800.0
3065,7,1.5,4,2011,18,1,238100.0
